Physiological Function,,,,,,,,,,,,,,,,,,,,,,,,,Physiological Process,,,,,,,,,,,,,,,,,,,,,,,,Scales of Effect,,,Clinical Metrics,,,,,,,,,,,,Interacting Functions,,,,,,,,,,,,Reference Material,,,,,,,,,,,,Common Data Elements,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,,,,,,,,,,Enter notes here from primary texts on quantitative information available for the processes denoted to the left,"Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,,"REQUIRED IF AVAILABLE. For each row, enter any corresponding common data elements (CDEs) that relate to the process.  Add more sets of CDE columns if needed, making sure to include the ID column.",,,,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Signal/LABEL,Signal/ID,Effect,Behavior,Behavior X,Behavior X/LABEL,Behavior X/ID,Behavior Y,Behavior Y/LABEL,Behavior Y/ID,Behavior Z,Behavior Z/LABEL,Behavior Z/ID,X Target,QuantitativeNotes,TimeScale,SignalScale,EffectScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES,CDE/1,CDE/1/ID,CDE/2,CDE/2/ID,CDE/3,CDE/3/ID,CDE/4,CDE/4/ID,CDE/5,CDE/5/ID,CDE/6,CDE/6/ID,CDE/7,CDE/7/ID
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,"hepatic glucose uptake is insulin-independent at the transport step, unlike muscle and fat",Hepatocytes equilibrate with portal glucose through GLUT2,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,transport of X from Y to Z,glucose,,,portal blood,,,hepatocyte,,,,"GLUT2 is bidirectional, low-affinity and high-capacity, so flux follows the concentration gradient",seconds-minutes,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Glucokinase traps incoming glucose in proportion to its concentration,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X conversion to Y,glucose,,,glucose 6-phosphate,,,,,,,"glucokinase has a Km near the physiological glucose range and is not product-inhibited, making it a hepatic glucose sensor",seconds-minutes,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Insulin drives hepatic glycogen synthesis after a meal,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,insulin,,,increases,X conversion to Y,glucose,,,glycogen,,,,,,,favoured by a high insulin-to-glucagon ratio in the fed state,minutes-hours,circulatory,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,"unlike muscle glycogen, hepatic glycogen can be released as free glucose because the liver has glucose 6-phosphatase",The liver stores glucose as glycogen for release to the whole organism,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X storage,glycogen,,,,,,,,,"[75, 100]","units = g hepatic glycogen; roughly 5% of liver wet weight, exhausted after 18-24 h of fasting",hours,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Glucagon mobilises hepatic glycogen when plasma glucose falls,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,glucagon,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes,circulatory,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Adrenergic stimulation mobilises hepatic glycogen during stress and exercise,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,epinephrine,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes,circulatory,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Dephosphorylation frees glucose for export,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X conversion to Y,glucose 6-phosphate,,,glucose,,,,,,,"glucose 6-phosphatase is confined to liver, kidney and intestine",minutes,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,The liver supplies glucose to the circulation between meals,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X secretion,glucose,,,,,,,,,"[2.0, 2.5]",units = mg/kg/min hepatic glucose output in the postabsorptive state,minutes-hours,,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Hepatic gluconeogenesis recycles peripheral lactate to glucose,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,fasted status,,,increases,X conversion to Y,lactate,,,glucose,,,,,,,the Cori cycle recycles muscle and erythrocyte lactate at a net ATP cost to the liver,hours,systemic,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Muscle-derived alanine is converted to glucose and its nitrogen to urea,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,fasted status,,,increases,X conversion to Y,alanine,,,glucose,,,,,,,the glucose-alanine cycle also carries muscle amino nitrogen to the liver for urea synthesis,hours-days,systemic,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Adipose-derived glycerol enters gluconeogenesis,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,fasted status,,,increases,X conversion to Y,glycerol,,,glucose,,,,,,,glycerol released by adipose lipolysis is a quantitatively significant gluconeogenic substrate in prolonged fasting,hours-days,systemic,circulatory,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Hepatic fructose metabolism enters glycolysis below its main regulatory step,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X conversion to Y,fructose,,,triose phosphates,,,,,,,"fructokinase bypasses the phosphofructokinase control point, so fructose loading favours lipogenesis",minutes-hours,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,metabolic processing,metabolic process,GO:0008152,hepatic glucose metabolism,glucose homeostasis,GO:0042593,"uptake, storage and release",glucose metabolic process,GO:0006006,,,,,,,,,,,,,,Galactose is converted to a glycolytic and glycogenic intermediate,cell,liver lobule,liver lobule,UBERON:0004647,hepatocyte,hepatocyte,CL:0000182,,,,does,X conversion to Y,galactose,,,glucose 1-phosphate,,,,,,,deficiency of galactose 1-phosphate uridyltransferase causes classic galactosaemia,minutes-hours,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,plasma lactate,,,hemoglobin A1c,,,,,,insulin production,insulin secretion,GO:0030073,glucagon production,glucagon secretion,GO:0070091,skeletal muscle metabolism,,,renal gluconeogenesis,gluconeogenesis,GO:0006094,"High-Yield Physiology, 1st edition. Dudek, 2008.",ISBN: 978-0781745871,33,,,,,,,,,,,,,,,,,,,,,,,
digestive system,digestive system process,GO:0022602,digestion and absorption,digestion,GO:0007586,carbohydrate assimilation,digestion,GO:0007586,luminal and brush-border digestion,,,,,,,,,,,,,,,,Glucose and galactose enter the enterocyte by sodium-coupled cotransport,cell,small intestine,small intestine,UBERON:0002108,enterocyte,enterocyte,CL:0000584,,,,does,X uptake,glucose,,,,,,,,,,"SGLT1-mediated, coupled to the sodium gradient; the basis for oral rehydration therapy",seconds-minutes,,intra-organ,plasma glucose,Glucose [Mass/volume] in Serum or Plasma,LOINC:2345-7,hydrogen breath test,,,stool reducing substances,,,,,,pancreatic exocrine function,pancreatic juice secretion,GO:0030157,gut microbiota,,,incretin release,,,,,,Yamada's Textbook of Gastroenterology,ISBN 9781119600206,21,,,,,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogen synthesis,glycogen biosynthetic process,GO:0005978,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,,,,does,X conversion to Y,glucose,,,glycogen,,,,,,,,minutes-hours,,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogen synthesis,glycogen biosynthetic process,GO:0005978,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,fed status,,,increases,X conversion to Y,glucose,,,glycogen,,,,,,,,minutes-hours,systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogen synthesis,glycogen biosynthetic process,GO:0005978,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,fasted status,,,decreases,X conversion to Y,glucose,,,glycogen,,,,,,,,minutes-hours,systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogen synthesis,glycogen biosynthetic process,GO:0005978,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,insulin,,,increases,X conversion to Y,glucose,,,glycogen,,,,,,,,minutes-hours,circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,,,,does,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,fed status,,,decreases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,fasted status,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,systemic,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,glucagon,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,norepinephrine,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,skeletal muscle metabolic function,,,glucose homeostasis,glucose homeostasis,GO:0042593,glycogenolysis,glycogen catabolic process,GO:0005980,,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,epinephrine,,,increases,X conversion to Y,glycogen,,,glucose,,,,,,,,minutes-hours,circulatory,circulatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,51,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,energy homeostasis,energy homeostasis,GO:0097009,glucose homeostasis,glucose homeostasis,GO:0042593,response to insulin,response to insulin-like growth factor stimulus,GO:1990418,glut4 translocation,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,,,,does,X uptake,glucose,,,,,,,,,,,seconds-minutes,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,9,,,,,,,,,,,,,,,,,,,
muscular system,musculoskeletal system,UBERON:0002204,energy homeostasis,energy homeostasis,GO:0097009,glucose homeostasis,glucose homeostasis,GO:0042593,response to insulin,response to insulin-like growth factor stimulus,GO:1990418,glut4 translocation,,,,,,,,,,,,,,cell,skeletal muscle,skeletal muscle tissue,UBERON:0001134,skeletal muscle cell,skeletal muscle fiber,CL:0008002,insulin,,,increases,X uptake,glucose,,,,,,,,,,,seconds-minutes,,autocrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Physiology, 3rd Edition (2017)",ISBN: 9781455743773,9,,,,,,,,,,,,,,,,,,,
endocrine system,endocrine process,GO:0050886,homeostasis,homeostatic process,GO:0042592,glucose homeostasis,glucose homeostasis,GO:0042593,glucagon production,glucagon secretion,GO:0070091,,,,,,,,,,,,,,glucagon increases glycogenolysis and gluconeogenesis in the liver to increase blood glucose; acts via adrenergic signaling,cell,islets of langerhans,islet of Langerhans,UBERON:0000006,alpha cell,pancreatic A cell,CL:0000171,,,,does,X secretion,glucagon,Glucagon [Mass/volume] in Serum or Plasma,LOINC:2338-2,,,,,,,"[40, 80]","units = pg/mL, Target is [80, 200] 2 hours after a mixed meal",minutes-hours,,"paracrine, circulatory",plasma glucagon,Glucagon [Mass/volume] in Serum or Plasma,LOINC:2338-2,,,,,,,,,,gluconeogenesis,gluconeogenesis,GO:0006094,glycogenolysis,glycogen catabolic process,GO:0005980,insulin production,insulin secretion,GO:0030073,lipid catabolic process,lipid catabolic process,GO:0016042,"Endocrine Physiology, 6th Edition (2023)",ISBN: 9781264278459,7,,,,,,,,,,Laboratory procedure random glucose measurement,C57974,Laboratory procedure fasting glucose measurement,C19724,Laboratory procedure two hour glucose measurement,C19725,Blood glucose lower threshold value,C54940,Blood glucose upper threshold value,C54951,Laboratory procedure fasting insulin measurement,C19726,,
